model_id,feature,coefficient
glmnet_dev_auc_k5_a05_lambda.min_clin,6166,-0.402085066351953
glmnet_dev_auc_k5_a05_lambda.min_clin,6230,-0.159367805513869
glmnet_dev_auc_k5_a05_lambda.min_clin,1069,-0.482001454392526
glmnet_dev_auc_k5_a1_lambda.1se_gene,(Intercept),0.333266830262162
glmnet_dev_auc_k5_a1_lambda.1se_gene,4694,-0.108861820004218
glmnet_dev_auc_k5_a1_lambda.1se_clin,(Intercept),0.36049638448063
glmnet_dev_auc_k5_a1_lambda.1se_clin,4694,-0.482896127754535
glmnet_dev_auc_k5_a1_lambda.1se_clin,6166,-0.0854188365361551
glmnet_dev_auc_k5_a1_lambda.1se_clin,1069,-0.172919205046351
glmnet_dev_auc_k5_a1_lambda.min_gene,(Intercept),0.448051930228807
glmnet_dev_auc_k5_a1_lambda.min_gene,4694,-0.500712778089361
glmnet_dev_auc_k5_a1_lambda.min_gene,6166,-0.624291297090889
glmnet_dev_auc_k5_a1_lambda.min_gene,1069,-0.713571629771723
glmnet_dev_auc_k5_a1_lambda.min_clin,(Intercept),0.333266830262162
glmnet_dev_auc_k5_a1_lambda.min_clin,4694,-0.108861820004218
glmnet_dev_auc_k10_a0_lambda.1se_gene,(Intercept),0.354734601319186
glmnet_dev_auc_k10_a0_lambda.1se_gene,4694,-0.0733285020609656
glmnet_dev_auc_k10_a0_lambda.1se_gene,4725,-0.0654337293807851
glmnet_dev_auc_k10_a0_lambda.1se_gene,6166,-0.0700770392398937
glmnet_dev_auc_k10_a0_lambda.1se_gene,6230,-0.0640646754204644
glmnet_dev_auc_k10_a0_lambda.1se_gene,1069,-0.0747704075867735
glmnet_dev_auc_k10_a0_lambda.1se_gene,51506,-0.054483986210114
glmnet_dev_auc_k10_a0_lambda.1se_gene,51258,-0.0771980944184633
glmnet_dev_auc_k10_a0_lambda.1se_gene,6119,-0.0618262764241159
glmnet_dev_auc_k10_a0_lambda.1se_gene,7388,-0.056308178300874
glmnet_dev_auc_k10_a0_lambda.1se_gene,10063,-0.0620009830821313
glmnet_dev_auc_k10_a0_lambda.1se_clin,(Intercept),0.425208179882615
glmnet_dev_auc_k10_a0_lambda.1se_clin,4694,-0.177460760779239
glmnet_dev_auc_k10_a0_lambda.1se_clin,4725,-0.120958571380449
glmnet_dev_auc_k10_a0_lambda.1se_clin,6166,-0.225980017364846
glmnet_dev_auc_k10_a0_lambda.1se_clin,6230,-0.13476935974759
glmnet_dev_auc_k10_a0_lambda.1se_clin,1069,-0.248998320168195
glmnet_dev_auc_k10_a0_lambda.1se_clin,51506,-0.0829942516279536
glmnet_dev_auc_k10_a0_lambda.1se_clin,51258,-0.216876521617193
glmnet_dev_auc_k10_a0_lambda.1se_clin,6119,-0.109347070372419
glmnet_dev_auc_k10_a0_lambda.1se_clin,7388,-0.0510396139307425
glmnet_dev_auc_k10_a0_lambda.1se_clin,10063,-0.105673208831266
glmnet_dev_auc_k10_a0_lambda.1se_clin,clinical_gender_male,-0.0627706265040369
glmnet_dev_auc_k10_a0_lambda.min_gene,(Intercept),0.460064484287441
glmnet_dev_auc_k10_a0_lambda.min_gene,4694,-0.336079258394429
glmnet_dev_auc_k10_a0_lambda.min_gene,4725,-0.0208756379031876
glmnet_dev_auc_k10_a0_lambda.min_gene,6166,-0.516832664730518
glmnet_dev_auc_k10_a0_lambda.min_gene,6230,-0.209085993573166
glmnet_dev_auc_k10_a0_lambda.min_gene,1069,-0.651758782326926
glmnet_dev_auc_k10_a0_lambda.min_gene,51506,-0.00133481657286182
glmnet_dev_auc_k10_a0_lambda.min_gene,51258,-0.599989695320338
glmnet_dev_auc_k10_a0_lambda.min_gene,6119,-0.0892183336115235
glmnet_dev_auc_k10_a0_lambda.min_gene,7388,0.380698685969088
glmnet_dev_auc_k10_a0_lambda.min_gene,10063,0.035228987336641
glmnet_dev_auc_k10_a0_lambda.min_clin,(Intercept),0.559173083064833
glmnet_dev_auc_k10_a0_lambda.min_clin,4694,-0.322857927083189
glmnet_dev_auc_k10_a0_lambda.min_clin,4725,-0.0274116071151549
glmnet_dev_auc_k10_a0_lambda.min_clin,6166,-0.522207605168703
glmnet_dev_auc_k10_a0_lambda.min_clin,6230,-0.208589564422768
glmnet_dev_auc_k10_a0_lambda.min_clin,1069,-0.650629243282907
glmnet_dev_auc_k10_a0_lambda.min_clin,51506,-0.00878729095802867
glmnet_dev_auc_k10_a0_lambda.min_clin,51258,-0.597053069371054
glmnet_dev_auc_k10_a0_lambda.min_clin,6119,-0.0989322679910063
glmnet_dev_auc_k10_a0_lambda.min_clin,7388,0.385472933107957
glmnet_dev_auc_k10_a0_lambda.min_clin,10063,0.0394329526220136
glmnet_dev_auc_k10_a0_lambda.min_clin,clinical_gender_male,-0.269656625835321
glmnet_dev_auc_k10_a05_lambda.1se_gene,(Intercept),0.332654460958184
glmnet_dev_auc_k10_a05_lambda.1se_gene,4694,-0.0199560852982445
glmnet_dev_auc_k10_a05_lambda.1se_gene,51258,-0.0432211773865792
glmnet_dev_auc_k10_a05_lambda.1se_clin,(Intercept),0.332654460958184
glmnet_dev_auc_k10_a05_lambda.1se_clin,4694,-0.0199560852982445
glmnet_dev_auc_k10_a05_lambda.1se_clin,51258,-0.0432211773865792
glmnet_dev_auc_k10_a05_lambda.min_gene,(Intercept),0.454923946338959
glmnet_dev_auc_k10_a05_lambda.min_gene,4694,-0.147619551384391
glmnet_dev_auc_k10_a05_lambda.min_gene,6166,-0.509311504535847
glmnet_dev_auc_k10_a05_lambda.min_gene,1069,-0.641212302453175
glmnet_dev_auc_k10_a05_lambda.min_gene,51258,-0.631943422895207
glmnet_dev_auc_k10_a05_lambda.min_clin,(Intercept),0.426985682971662
glmnet_dev_auc_k10_a05_lambda.min_clin,4694,-0.224995791766538
glmnet_dev_auc_k10_a05_lambda.min_clin,6166,-0.369078255507603
glmnet_dev_auc_k10_a05_lambda.min_clin,6230,-0.0539753062547437
glmnet_dev_auc_k10_a05_lambda.min_clin,1069,-0.471236568805403
glmnet_dev_auc_k10_a05_lambda.min_clin,51258,-0.472766704093378
glmnet_dev_auc_k10_a1_lambda.1se_gene,(Intercept),0.487421679268322
glmnet_dev_auc_k10_a1_lambda.1se_gene,6166,-0.615925477791033
glmnet_dev_auc_k10_a1_lambda.1se_gene,1069,-0.82045495855918
glmnet_dev_auc_k10_a1_lambda.1se_gene,51258,-1.12649956808208
glmnet_dev_auc_k10_a1_lambda.1se_gene,7388,0.431712897694313
glmnet_dev_auc_k10_a1_lambda.1se_clin,(Intercept),0.333323185837003
glmnet_dev_auc_k10_a1_lambda.1se_clin,51258,-0.111460722025748
glmnet_dev_auc_k10_a1_lambda.min_gene,(Intercept),0.556223414244981
glmnet_dev_auc_k10_a1_lambda.min_gene,4694,-0.757470185509598
glmnet_dev_auc_k10_a1_lambda.min_gene,4725,0.0657218638488842
glmnet_dev_auc_k10_a1_lambda.min_gene,6166,-0.658866657143762
glmnet_dev_auc_k10_a1_lambda.min_gene,6230,-0.626409342165662
glmnet_dev_auc_k10_a1_lambda.min_gene,1069,-1.03506051057577
glmnet_dev_auc_k10_a1_lambda.min_gene,51506,0.000882985241698101
glmnet_dev_auc_k10_a1_lambda.min_gene,51258,-1.60777509060232
glmnet_dev_auc_k10_a1_lambda.min_gene,6119,-0.214098538987817
glmnet_dev_auc_k10_a1_lambda.min_gene,7388,2.10130694404351
glmnet_dev_auc_k10_a1_lambda.min_gene,10063,0.314884109988238
glmnet_dev_auc_k10_a1_lambda.min_clin,(Intercept),0.66312491268695
glmnet_dev_auc_k10_a1_lambda.min_clin,4694,-0.229536533227715
glmnet_dev_auc_k10_a1_lambda.min_clin,6166,-0.681609996056221
glmnet_dev_auc_k10_a1_lambda.min_clin,6230,-0.314209552462486
glmnet_dev_auc_k10_a1_lambda.min_clin,1069,-0.897728194409839
glmnet_dev_auc_k10_a1_lambda.min_clin,51258,-1.39730881536015
glmnet_dev_auc_k10_a1_lambda.min_clin,6119,-0.0110135591579531
glmnet_dev_auc_k10_a1_lambda.min_clin,7388,1.2701713899846
glmnet_dev_auc_k10_a1_lambda.min_clin,clinical_gender_male,-0.37541615008947
glmnet_dev_auc_k15_a0_lambda.1se_gene,(Intercept),0.380187299490419
glmnet_dev_auc_k15_a0_lambda.1se_gene,4694,-0.110270924410097
glmnet_dev_auc_k15_a0_lambda.1se_gene,4725,-0.0829556269560214
glmnet_dev_auc_k15_a0_lambda.1se_gene,6166,-0.122628935031663
glmnet_dev_auc_k15_a0_lambda.1se_gene,6230,-0.0890581866016702
glmnet_dev_auc_k15_a0_lambda.1se_gene,1069,-0.141653228257187
glmnet_dev_auc_k15_a0_lambda.1se_gene,51506,-0.067300459237473
glmnet_dev_auc_k15_a0_lambda.1se_gene,51258,-0.125626431441972
glmnet_dev_auc_k15_a0_lambda.1se_gene,6119,-0.0762030150855499
glmnet_dev_auc_k15_a0_lambda.1se_gene,7388,-0.055628235041996
glmnet_dev_auc_k15_a0_lambda.1se_gene,10063,-0.0808334033425382
glmnet_dev_auc_k15_a0_lambda.1se_gene,23218,0.0179551978955324
glmnet_dev_auc_k15_a0_lambda.1se_gene,7979,-0.0851545642299739
glmnet_dev_auc_k15_a0_lambda.1se_gene,539,-0.0420385320782647
glmnet_dev_auc_k15_a0_lambda.1se_gene,6233,-0.0790591458518588
glmnet_dev_auc_k15_a0_lambda.1se_gene,521,-0.0708587571936843
glmnet_dev_auc_k15_a0_lambda.1se_clin,(Intercept),0.332382572589457
glmnet_dev_auc_k15_a0_lambda.1se_clin,4694,-0.00106238455211868
glmnet_dev_auc_k15_a0_lambda.1se_clin,4725,-0.000991628791345897
glmnet_dev_auc_k15_a0_lambda.1se_clin,6166,-0.000939810239699268
glmnet_dev_auc_k15_a0_lambda.1se_clin,6230,-0.000963252553133577
glmnet_dev_auc_k15_a0_lambda.1se_clin,1069,-0.00100049807539834
glmnet_dev_auc_k15_a0_lambda.1se_clin,51506,-0.000864801229461497
glmnet_dev_auc_k15_a0_lambda.1se_clin,51258,-0.00108693505514429
glmnet_dev_auc_k15_a0_lambda.1se_clin,6119,-0.000948830852018293
glmnet_dev_auc_k15_a0_lambda.1se_clin,7388,-0.000922168657179958
glmnet_dev_auc_k15_a0_lambda.1se_clin,10063,-0.000956218209774488
glmnet_dev_auc_k15_a0_lambda.1se_clin,23218,0.000619319654772457
glmnet_dev_auc_k15_a0_lambda.1se_clin,7979,-0.000978477181479864
glmnet_dev_auc_k15_a0_lambda.1se_clin,539,-0.000879086262522875
glmnet_dev_auc_k15_a0_lambda.1se_clin,6233,-0.000780519401277721
glmnet_dev_auc_k15_a0_lambda.1se_clin,521,-0.000949958853999768
glmnet_dev_auc_k15_a0_lambda.1se_clin,clinical_gender_male,-7.59111205965799e-05
glmnet_dev_auc_k15_a0_lambda.min_gene,(Intercept),0.457889793021877
glmnet_dev_auc_k15_a0_lambda.min_gene,4694,-0.291064306543677
glmnet_dev_auc_k15_a0_lambda.min_gene,4725,-0.0636197851201522
glmnet_dev_auc_k15_a0_lambda.min_gene,6166,-0.394640879272061
glmnet_dev_auc_k15_a0_lambda.min_gene,6230,-0.2163376496359
glmnet_dev_auc_k15_a0_lambda.min_gene,1069,-0.559483539170909
glmnet_dev_auc_k15_a0_lambda.min_gene,51506,-0.0774566130934709
glmnet_dev_auc_k15_a0_lambda.min_gene,51258,-0.471522380435435
glmnet_dev_auc_k15_a0_lambda.min_gene,6119,-0.112682547008284
glmnet_dev_auc_k15_a0_lambda.min_gene,7388,0.179180289145594
glmnet_dev_auc_k15_a0_lambda.min_gene,10063,-0.0591644021920453
glmnet_dev_auc_k15_a0_lambda.min_gene,23218,-0.107641477781252
glmnet_dev_auc_k15_a0_lambda.min_gene,7979,-0.119825879191043
glmnet_dev_auc_k15_a0_lambda.min_gene,539,0.288140076683899
glmnet_dev_auc_k15_a0_lambda.min_gene,6233,-0.166641308302346
glmnet_dev_auc_k15_a0_lambda.min_gene,521,0.0174982328938354
glmnet_dev_auc_k15_a0_lambda.min_clin,(Intercept),0.554378824953186
glmnet_dev_auc_k15_a0_lambda.min_clin,4694,-0.317394826200314
glmnet_dev_auc_k15_a0_lambda.min_clin,4725,-0.0586634342479686
glmnet_dev_auc_k15_a0_lambda.min_clin,6166,-0.432391902329187
glmnet_dev_auc_k15_a0_lambda.min_clin,6230,-0.243190867165997
glmnet_dev_auc_k15_a0_lambda.min_clin,1069,-0.616350348442447
glmnet_dev_auc_k15_a0_lambda.min_clin,51506,-0.0797341133142602
glmnet_dev_auc_k15_a0_lambda.min_clin,51258,-0.547049725461344
glmnet_dev_auc_k15_a0_lambda.min_clin,6119,-0.137050748765703
glmnet_dev_auc_k15_a0_lambda.min_clin,7388,0.249458718498728
glmnet_dev_auc_k15_a0_lambda.min_clin,10063,-0.0363694554506686
glmnet_dev_auc_k15_a0_lambda.min_clin,23218,-0.100271307239589
glmnet_dev_auc_k15_a0_lambda.min_clin,7979,-0.115813548153346
glmnet_dev_auc_k15_a0_lambda.min_clin,539,0.365829483474517
glmnet_dev_auc_k15_a0_lambda.min_clin,6233,-0.180411801441658
glmnet_dev_auc_k15_a0_lambda.min_clin,521,0.043537313302399
glmnet_dev_auc_k15_a0_lambda.min_clin,clinical_gender_male,-0.225398619942215
glmnet_dev_auc_k15_a05_lambda.1se_gene,(Intercept),0.332654460958184
glmnet_dev_auc_k15_a05_lambda.1se_gene,4694,-0.0199560852982445
glmnet_dev_auc_k15_a05_lambda.1se_gene,51258,-0.0432211773865792
glmnet_dev_auc_k15_a05_lambda.1se_clin,(Intercept),0.33371427614672
glmnet_dev_auc_k15_a05_lambda.1se_clin,4694,-0.052680409200616
glmnet_dev_auc_k15_a05_lambda.1se_clin,1069,-0.00461772176244074
glmnet_dev_auc_k15_a05_lambda.1se_clin,51258,-0.0782854420779509
glmnet_dev_auc_k15_a05_lambda.min_gene,(Intercept),0.332654460958184
glmnet_dev_auc_k15_a05_lambda.min_gene,4694,-0.0199560852982445
glmnet_dev_auc_k15_a05_lambda.min_gene,51258,-0.0432211773865792
glmnet_dev_auc_k15_a05_lambda.min_clin,(Intercept),0.411496805996007
glmnet_dev_auc_k15_a05_lambda.min_clin,4694,-0.231855990248828
glmnet_dev_auc_k15_a05_lambda.min_clin,6166,-0.299059764363568
glmnet_dev_auc_k15_a05_lambda.min_clin,6230,-0.0687847107091406
glmnet_dev_auc_k15_a05_lambda.min_clin,1069,-0.388807803736349
glmnet_dev_auc_k15_a05_lambda.min_clin,51258,-0.406863468783071
glmnet_dev_auc_k15_a1_lambda.1se_gene,(Intercept),0.333323185837003
glmnet_dev_auc_k15_a1_lambda.1se_gene,51258,-0.111460722025748
glmnet_dev_auc_k15_a1_lambda.1se_clin,(Intercept),0.333323185837003
glmnet_dev_auc_k15_a1_lambda.1se_clin,51258,-0.111460722025748
glmnet_dev_auc_k15_a1_lambda.min_gene,(Intercept),0.595281018999222
glmnet_dev_auc_k15_a1_lambda.min_gene,4694,-0.503524812090117
glmnet_dev_auc_k15_a1_lambda.min_gene,6166,-0.505267670302053
glmnet_dev_auc_k15_a1_lambda.min_gene,6230,-0.531373470846901
glmnet_dev_auc_k15_a1_lambda.min_gene,1069,-0.900990680979027
glmnet_dev_auc_k15_a1_lambda.min_gene,51258,-1.4941428405108
glmnet_dev_auc_k15_a1_lambda.min_gene,6119,-0.284352806113378
glmnet_dev_auc_k15_a1_lambda.min_gene,7388,0.780821983158699
glmnet_dev_auc_k15_a1_lambda.min_gene,539,1.40759732158823
glmnet_dev_auc_k15_a1_lambda.min_gene,6233,-0.399509985093693
glmnet_dev_auc_k15_a1_lambda.min_clin,(Intercept),0.679531604974599
glmnet_dev_auc_k15_a1_lambda.min_clin,4694,-0.266691982523192
glmnet_dev_auc_k15_a1_lambda.min_clin,6166,-0.577713398832921
glmnet_dev_auc_k15_a1_lambda.min_clin,6230,-0.379911987726965
glmnet_dev_auc_k15_a1_lambda.min_clin,1069,-0.867114164670161
glmnet_dev_auc_k15_a1_lambda.min_clin,51258,-1.4237985438964
glmnet_dev_auc_k15_a1_lambda.min_clin,6119,-0.178122057542323
glmnet_dev_auc_k15_a1_lambda.min_clin,7388,0.533416732725173
glmnet_dev_auc_k15_a1_lambda.min_clin,539,1.09422037618125
glmnet_dev_auc_k15_a1_lambda.min_clin,6233,-0.267046342288827
glmnet_dev_auc_k15_a1_lambda.min_clin,clinical_gender_male,-0.301178587408899
glmnet_dev_auc_k20_a0_lambda.1se_gene,(Intercept),0.3989586391644
glmnet_dev_auc_k20_a0_lambda.1se_gene,4694,-0.159704748669286
glmnet_dev_auc_k20_a0_lambda.1se_gene,4725,-0.089372099599803
glmnet_dev_auc_k20_a0_lambda.1se_gene,6166,-0.21942331981926
glmnet_dev_auc_k20_a0_lambda.1se_gene,6230,-0.121536945601755
glmnet_dev_auc_k20_a0_lambda.1se_gene,1069,-0.259812326406116
glmnet_dev_auc_k20_a0_lambda.1se_gene,51506,-0.0657638854221832
glmnet_dev_auc_k20_a0_lambda.1se_gene,51258,-0.208127877624688
glmnet_dev_auc_k20_a0_lambda.1se_gene,6119,-0.0816136792257812
glmnet_dev_auc_k20_a0_lambda.1se_gene,7388,-0.0168748493323252
glmnet_dev_auc_k20_a0_lambda.1se_gene,10063,-0.0870950876298895
glmnet_dev_auc_k20_a0_lambda.1se_gene,23218,-0.0355558520422276
glmnet_dev_auc_k20_a0_lambda.1se_gene,7979,-0.0999386709724587
glmnet_dev_auc_k20_a0_lambda.1se_gene,539,0.0166325905289434
glmnet_dev_auc_k20_a0_lambda.1se_gene,6233,-0.11671185690638
glmnet_dev_auc_k20_a0_lambda.1se_gene,521,-0.0569846491793968
glmnet_dev_auc_k20_a0_lambda.1se_gene,5052,-0.0480285410532194
glmnet_dev_auc_k20_a0_lambda.1se_gene,529,-0.130446603593858
glmnet_dev_auc_k20_a0_lambda.1se_gene,51503,-0.0120332046314377
glmnet_dev_auc_k20_a0_lambda.1se_gene,6727,0.148864475809359
glmnet_dev_auc_k20_a0_lambda.1se_gene,10312,0.0671739257813198
glmnet_dev_auc_k20_a0_lambda.1se_clin,(Intercept),0.464756569863181
glmnet_dev_auc_k20_a0_lambda.1se_clin,4694,-0.214704298580056
glmnet_dev_auc_k20_a0_lambda.1se_clin,4725,-0.0940533343222666
glmnet_dev_auc_k20_a0_lambda.1se_clin,6166,-0.313050743830479
glmnet_dev_auc_k20_a0_lambda.1se_clin,6230,-0.166274880956613
glmnet_dev_auc_k20_a0_lambda.1se_clin,1069,-0.384764839708841
glmnet_dev_auc_k20_a0_lambda.1se_clin,51506,-0.0680910621088808
glmnet_dev_auc_k20_a0_lambda.1se_clin,51258,-0.307437138970848
glmnet_dev_auc_k20_a0_lambda.1se_clin,6119,-0.0998379472298309
glmnet_dev_auc_k20_a0_lambda.1se_clin,7388,0.0380611095734623
glmnet_dev_auc_k20_a0_lambda.1se_clin,10063,-0.0890063949105572
glmnet_dev_auc_k20_a0_lambda.1se_clin,23218,-0.0636380041083032
glmnet_dev_auc_k20_a0_lambda.1se_clin,7979,-0.118370099819503
glmnet_dev_auc_k20_a0_lambda.1se_clin,539,0.0871348246914708
glmnet_dev_auc_k20_a0_lambda.1se_clin,6233,-0.148982442799252
glmnet_dev_auc_k20_a0_lambda.1se_clin,521,-0.040457940898626
glmnet_dev_auc_k20_a0_lambda.1se_clin,5052,-0.0515019483351107
glmnet_dev_auc_k20_a0_lambda.1se_clin,529,-0.19452874605402
glmnet_dev_auc_k20_a0_lambda.1se_clin,51503,0.0366764193716225
glmnet_dev_auc_k20_a0_lambda.1se_clin,6727,0.320765965077241
glmnet_dev_auc_k20_a0_lambda.1se_clin,10312,0.0813100479944552
glmnet_dev_auc_k20_a0_lambda.1se_clin,clinical_gender_male,-0.11230634813518
glmnet_dev_auc_k20_a0_lambda.min_gene,(Intercept),0.495775197624003
glmnet_dev_auc_k20_a0_lambda.min_gene,4694,-0.339611952814057
glmnet_dev_auc_k20_a0_lambda.min_gene,4725,-0.089937009307119
glmnet_dev_auc_k20_a0_lambda.min_gene,6166,-0.481998615895325
glmnet_dev_auc_k20_a0_lambda.min_gene,6230,-0.306150692921413
glmnet_dev_auc_k20_a0_lambda.min_gene,1069,-0.610914884944651
glmnet_dev_auc_k20_a0_lambda.min_gene,51506,-0.0439074021035806
glmnet_dev_auc_k20_a0_lambda.min_gene,51258,-0.559117772609046
glmnet_dev_auc_k20_a0_lambda.min_gene,6119,-0.183451917467243
glmnet_dev_auc_k20_a0_lambda.min_gene,7388,0.199556151493265
glmnet_dev_auc_k20_a0_lambda.min_gene,10063,-0.0693363893104546
glmnet_dev_auc_k20_a0_lambda.min_gene,23218,-0.0720763066900813
glmnet_dev_auc_k20_a0_lambda.min_gene,7979,-0.177069332733456
glmnet_dev_auc_k20_a0_lambda.min_gene,539,0.271051617345474
glmnet_dev_auc_k20_a0_lambda.min_gene,6233,-0.21541102199532
glmnet_dev_auc_k20_a0_lambda.min_gene,521,0.0184941488422175
glmnet_dev_auc_k20_a0_lambda.min_gene,5052,-0.0860692322430028
glmnet_dev_auc_k20_a0_lambda.min_gene,529,-0.395717830423446
glmnet_dev_auc_k20_a0_lambda.min_gene,51503,0.177558937834298
glmnet_dev_auc_k20_a0_lambda.min_gene,6727,0.772508126532812
glmnet_dev_auc_k20_a0_lambda.min_gene,10312,0.105013886425164
glmnet_dev_auc_k20_a0_lambda.min_clin,(Intercept),0.5666678467931
glmnet_dev_auc_k20_a0_lambda.min_clin,4694,-0.336185685274705
glmnet_dev_auc_k20_a0_lambda.min_clin,4725,-0.0963699325184122
glmnet_dev_auc_k20_a0_lambda.min_clin,6166,-0.483943822626859
glmnet_dev_auc_k20_a0_lambda.min_clin,6230,-0.303148323992277
glmnet_dev_auc_k20_a0_lambda.min_clin,1069,-0.610810795437041
glmnet_dev_auc_k20_a0_lambda.min_clin,51506,-0.0474190070539299
glmnet_dev_auc_k20_a0_lambda.min_clin,51258,-0.561683663342567
glmnet_dev_auc_k20_a0_lambda.min_clin,6119,-0.192946747032488
glmnet_dev_auc_k20_a0_lambda.min_clin,7388,0.207272024441974
glmnet_dev_auc_k20_a0_lambda.min_clin,10063,-0.065191905459666
glmnet_dev_auc_k20_a0_lambda.min_clin,23218,-0.06109095253915
glmnet_dev_auc_k20_a0_lambda.min_clin,7979,-0.170272923731669
glmnet_dev_auc_k20_a0_lambda.min_clin,539,0.266462837454577
glmnet_dev_auc_k20_a0_lambda.min_clin,6233,-0.210304540174046
glmnet_dev_auc_k20_a0_lambda.min_clin,521,0.0175500246465162
glmnet_dev_auc_k20_a0_lambda.min_clin,5052,-0.076769566679938
glmnet_dev_auc_k20_a0_lambda.min_clin,529,-0.384499391653473
glmnet_dev_auc_k20_a0_lambda.min_clin,51503,0.183898237267088
glmnet_dev_auc_k20_a0_lambda.min_clin,6727,0.76328784869287
glmnet_dev_auc_k20_a0_lambda.min_clin,10312,0.114569200778235
glmnet_dev_auc_k20_a0_lambda.min_clin,clinical_gender_male,-0.204545903908559
glmnet_dev_auc_k20_a05_lambda.1se_gene,(Intercept),0.341564912209556
glmnet_dev_auc_k20_a05_lambda.1se_gene,4694,-0.109285479873945
glmnet_dev_auc_k20_a05_lambda.1se_gene,4725,-0.0206364315136732
glmnet_dev_auc_k20_a05_lambda.1se_gene,6166,-0.02335773003777
glmnet_dev_auc_k20_a05_lambda.1se_gene,6230,-0.00535457732053628
glmnet_dev_auc_k20_a05_lambda.1se_gene,1069,-0.0726830492065473
glmnet_dev_auc_k20_a05_lambda.1se_gene,51258,-0.147304323489433
glmnet_dev_auc_k20_a05_lambda.1se_gene,7979,-0.0090324119031126
glmnet_dev_auc_k20_a05_lambda.1se_clin,(Intercept),0.448749616793263
glmnet_dev_auc_k20_a05_lambda.1se_clin,4694,-0.213964868160239
glmnet_dev_auc_k20_a05_lambda.1se_clin,6166,-0.454456765726594
glmnet_dev_auc_k20_a05_lambda.1se_clin,6230,-0.0793381941085579
glmnet_dev_auc_k20_a05_lambda.1se_clin,1069,-0.53800212138101
glmnet_dev_auc_k20_a05_lambda.1se_clin,51258,-0.549125612438119
glmnet_dev_auc_k20_a05_lambda.1se_clin,6233,-0.030058769778934
glmnet_dev_auc_k20_a05_lambda.1se_clin,529,-0.136957518814054
glmnet_dev_auc_k20_a05_lambda.1se_clin,6727,0.22490021235174
glmnet_dev_auc_k20_a05_lambda.min_gene,(Intercept),0.526326059451217
glmnet_dev_auc_k20_a05_lambda.min_gene,4694,-0.24986553434155
